"","date","length","age","maturity","stage"
"1","4/28/2003",51,NA,"Mature",6
"2","5/4/2003",52,NA,"Mature",6
"3","7/6/2003",57,NA,"Mature",7
"4","7/6/2003",52,NA,"Mature",6
"5","7/30/2003",53,NA,"Mature",6
"6","7/30/2003",54,NA,"Mature",6
"7","7/29/2003",55,NA,"Mature",6
"8","11/9/2003",67,NA,"Mature",4
"9","11/9/2003",54,NA,"Mature",2
"10","3/2/2004",56,NA,"Mature",4
"11","3/17/2004",60,NA,"Mature",3
"12","7/12/2004",69,NA,"Mature",7
"13","7/12/2004",47,NA,"Immature",2
"14","7/14/2004",54,NA,"Mature",7
"15","7/16/2004",57,NA,"Mature",7
"16","7/17/2004",54,NA,"Mature",7
"17","7/18/2004",52,NA,"Mature",7
"18","7/26/2004",53,NA,"Mature",7
"19","7/31/2004",48,NA,"Mature",7
"20","8/4/2004",56,NA,"Mature",6
"21","8/12/2004",45,NA,"Mature",7
"22","8/14/2004",58,NA,"Mature",7
"23","2/2/2005",61,NA,"Mature",4
"24","2/5/2005",64,NA,"Mature",4
"25","2/24/2005",53,NA,"Mature",4
"26","2/26/2005",59,NA,"Mature",4
"27","3/11/2005",51,NA,"Mature",5
"28","3/11/2005",66,NA,"Mature",5
"29","3/20/2005",57,NA,"Mature",4
"30","3/23/2005",50,NA,"Mature",6
"31","3/23/2005",42,NA,"Mature",6
"32","3/24/2005",53,NA,"Mature",6
"33","3/25/2005",53,NA,"Mature",4
"34","4/4/2005",50,NA,"Mature",3
"35","4/9/2005",51,NA,"Mature",7
"36","4/23/2005",57,NA,"Immature",6
"37","4/27/2005",59,NA,"Mature",3
"38","5/4/2005",53,NA,"Mature",6
"39","5/28/2005",43,NA,"Mature",2
"40","6/4/2005",60,NA,"Mature",6
"41","6/8/2005",51,NA,"Mature",6
"42","6/9/2005",53,NA,"Mature",6
"43","6/24/2005",54,NA,"Mature",7
"44","6/27/2005",57,NA,"Mature",7
"45","7/10/2005",54,NA,"Unknown",7
"46","7/12/2005",52,NA,"Mature",7
"47","7/18/2005",67,NA,"Mature",7
"48","7/21/2005",55,NA,"Mature",6
"49","7/28/2005",52,NA,"Mature",7
"50","5/4/2003",51,5,"Mature",6
"51","7/3/2003",44,5,"Immature",2
"52","7/5/2003",47,5,"Mature",7
"53","7/5/2003",47,5,"Mature",7
"54","7/5/2003",53,6,"Mature",6
"55","7/6/2003",53,6,"Mature",7
"56","10/26/2003",46,4,"Mature",7
"57","10/26/2003",51,4,"Mature",7
"58","4/19/2004",58,6,"Mature",6
"59","5/1/2004",57,6,"Mature",6
"60","6/17/2004",62,9,"Mature",6
"61","7/6/2004",48,4,"Immature",7
"62","7/9/2004",61,5,"Mature",7
"63","7/12/2004",42,5,"Immature",2
"64","7/12/2004",47,4,"Immature",2
"65","7/18/2004",41,4,"Mature",7
"66","7/18/2004",50,5,"Mature",7
"67","7/20/2004",51,4,"Mature",7
"68","7/23/2004",42,3,"Mature",7
"69","7/23/2004",47,4,"Mature",7
"70","7/26/2004",57,6,"Mature",7
"71","7/27/2004",53,4,"Mature",7
"72","7/30/2004",55,6,"Mature",7
"73","8/9/2004",58,6,"Mature",3
"74","8/10/2004",50,4,"Mature",7
"75","8/11/2004",51,5,"Mature",7
"76","8/12/2004",51,5,"Mature",7
"77","8/12/2004",48,5,"Mature",7
"78","8/14/2004",53,4,"Mature",7
"79","8/14/2004",58,8,"Mature",4
"80","8/15/2004",51,5,"Mature",7
"81","8/15/2004",52,5,"Mature",7
"82","4/14/2005",56,7,"Mature",6
"83","4/21/2005",54,5,"Mature",6
"84","4/30/2005",61,9,"Mature",6
"85","4/30/2006",49,NA,"Mature",7
"86","4/30/2005",51,6,"Mature",6
"87","4/30/2005",53,6,"Mature",6
"88","5/4/2005",62,6,"Mature",6
"89","5/13/2005",48,5,"Immature",2
"90","5/13/2005",44,5,"Mature",2
"91","5/21/2006",56,NA,"Mature",7
"92","5/14/2005",58,7,"Mature",6
"93","5/28/2006",52,NA,"Mature",7
"94","5/28/2005",65,8,"Mature",3
"95","5/28/2005",55,6,"Mature",7
"96","5/31/2005",57,7,"Mature",6
"97","6/1/2005",52,5,"Mature",6
"98","6/3/2005",58,5,"Mature",6
"99","3/27/2006",55,NA,"Mature",4
"100","4/3/2006",48,NA,"Mature",6
"101","6/8/2005",56,6,"Mature",6
"102","6/9/2005",63,7,"Mature",6
"103","6/11/2005",51,5,"Immature",7
"104","6/12/2005",53,6,"Mature",6
"105","6/9/2006",54,NA,"Mature",7
"106","6/9/2006",57,NA,"Mature",7
"107","6/22/2005",56,6,"Mature",3
"108","6/11/2006",46,NA,"Immature",2
"109","6/22/2005",48,6,"Immature",2
"110","6/11/2006",51,NA,"Mature",7
"111","6/23/2005",44,5,"Immature",2
"112","6/24/2005",48,5,"Immature",2
"113","6/22/2006",46,NA,"Mature",7
"114","6/28/2005",41,4,"Immature",2
"115","6/23/2006",42,NA,"Mature",2
"116","6/28/2005",51,5,"Mature",7
"117","6/24/2006",56,NA,"Mature",6
"118","6/30/2005",59,6,"Mature",7
"119","7/1/2005",49,5,"Unknown",7
"120","6/29/2006",53,NA,"Mature",7
"121","7/1/2005",54,5,"Mature",7
"122","7/3/2005",52,5,"Mature",7
"123","6/29/2006",60,NA,"Mature",7
"124","7/3/2005",45,4,"Mature",6
"125","6/30/2006",60,NA,"Mature",7
"126","7/1/2006",56,NA,"Mature",7
"127","7/1/2006",55,NA,"Mature",7
"128","7/16/2005",59,6,"Mature",7
"129","7/19/2005",56,6,"Mature",7
"130","7/20/2005",51,5,"Mature",7
"131","7/21/2005",50,4,"Mature",7
"132","7/22/2005",52,5,"Mature",7
"133","7/23/2005",54,5,"Mature",7
"134","7/24/2005",39,4,"Immature",2
"135","7/24/2005",50,5,"Mature",7
"136","7/29/2005",54,5,"Mature",7
"137","7/30/2005",53,5,"Mature",7
"138","7/30/2005",42,3,"Immature",2
"139","6/29/2006",56,NA,"Mature",7
"140","8/3/2005",59,5,"Mature",7
"141","4/23/2006",52,7,"Mature",7
"142","5/4/2006",44,5,"Unknown",2
"143","5/6/2006",46,4,"Mature",6
"144","7/3/2006",64,NA,"Mature",7
"145","7/3/2006",67,NA,"Mature",7
"146","5/14/2006",54,7,"Mature",6
"147","7/6/2006",46,NA,"Mature",7
"148","5/14/2006",58,7,"Mature",7
"149","5/20/2006",45,5,"Mature",7
"150","5/24/2006",50,5,"Mature",7
"151","5/28/2006",57,7,"Mature",7
"152","5/28/2006",55,7,"Mature",7
"153","5/30/2006",56,6,"Mature",7
"154","5/30/2006",58,6,"Mature",7
"155","6/2/2006",70,14,"Mature",7
"156","7/15/2006",70,NA,"Mature",7
"157","7/15/2006",47,NA,"Mature",7
"158","4/4/2006",56,8,"Mature",4
"159","4/8/2006",52,7,"Mature",4
"160","4/9/2006",48,5,"Mature",6
"161","7/18/2006",60,NA,"Mature",7
"162","7/18/2006",60,NA,"Mature",7
"163","6/7/2006",50,7,"Mature",7
"164","6/10/2006",64,9,"Mature",7
"165","6/11/2006",47,6,"Immature",2
"166","6/11/2006",59,8,"Mature",7
"167","6/11/2006",58,8,"Mature",7
"168","6/22/2006",61,6,"Mature",7
"169","6/23/2006",41,5,"Immature",2
"170","6/24/2006",47,6,"Immature",2
"171","6/26/2006",63,7,"Mature",7
"172","6/28/2006",42,4,"Immature",2
"173","6/29/2006",66,10,"Mature",7
"174","6/29/2006",61,8,"Mature",7
"175","6/30/2006",56,6,"Mature",7
"176","7/1/2006",47,5,"Mature",7
"177","7/1/2006",55,6,"Mature",7
"178","7/1/2006",46,5,"Immature",2
"179","7/1/2006",61,7,"Mature",7
"180","7/1/2006",56,6,"Mature",7
"181","7/1/2006",53,5,"Mature",7
"182","7/1/2006",60,6,"Mature",7
"183","7/2/2006",66,11,"Mature",7
"184","7/2/2006",58,7,"Mature",7
"185","7/2/2006",62,8,"Mature",7
"186","7/2/2006",56,6,"Mature",2
"187","8/15/2006",67,NA,"Mature",7
"188","7/2/2006",61,8,"Mature",7
"189","7/2/2006",56,6,"Mature",7
"190","7/3/2006",45,4,"Mature",2
"191","7/3/2006",46,5,"Mature",2
"192","7/3/2006",56,7,"Mature",7
"193","7/7/2006",42,5,"Mature",2
"194","7/7/2006",63,6,"Mature",7
"195","7/7/2006",71,9,"Mature",7
"196","7/5/2006",61,6,"Mature",7
"197","8/23/2006",57,NA,"Mature",3
"198","7/8/2006",49,5,"Mature",7
"199","7/9/2006",61,5,"Mature",7
"200","7/9/2006",43,5,"Mature",2
"201","7/13/2006",50,6,"Mature",7
"202","9/1/2006",58,NA,"Mature",7
"203","9/5/2006",55,NA,"Mature",7
"204","9/5/2006",54,NA,"Mature",7
"205","9/8/2006",56,NA,"Mature",7
"206","9/9/2006",50,NA,"Mature",3
"207","9/9/2006",65,NA,"Mature",7
"208","7/17/2006",62,8,"Mature",7
"209","9/10/2006",56,NA,"Mature",7
"210","9/23/2006",49,NA,"Mature",2
"211","3/16/2007",51,NA,"Mature",4
"212","3/17/2007",55,NA,"Mature",6
"213","3/25/2007",60,NA,"Mature",4
"214","3/25/2007",56,NA,"Mature",4
"215","3/26/2007",58,NA,"Mature",4
"216","3/31/2007",59,NA,"Mature",4
"217","7/17/2006",54,6,"Mature",2
"218","7/18/2006",47,6,"Mature",2
"219","7/20/2006",52,6,"Immature",7
"220","7/20/2006",58,6,"Mature",7
"221","4/3/2007",52,NA,"Mature",3
"222","7/20/2006",56,5,"Mature",7
"223","7/22/2006",63,8,"Mature",7
"224","7/23/2006",52,6,"Mature",2
"225","7/24/2006",52,5,"Immature",2
"226","7/26/2006",55,6,"Mature",7
"227","7/27/2006",48,5,"Mature",2
"228","7/31/2006",43,5,"Mature",2
"229","4/5/2007",53,NA,"Mature",3
"230","8/2/2006",59,6,"Mature",7
"231","8/2/2006",64,9,"Mature",7
"232","4/12/2007",63,NA,"Mature",3
"233","8/5/2006",49,6,"Mature",2
"234","8/7/2006",51,5,"Mature",7
"235","8/9/2006",57,7,"Mature",7
"236","4/26/2007",57,NA,"Mature",7
"237","8/9/2006",43,4,"Immature",2
"238","8/10/2006",57,6,"Mature",7
"239","8/11/2006",42,4,"Immature",2
"240","8/11/2006",57,7,"Mature",7
"241","8/12/2006",49,5,"Mature",7
"242","8/12/2006",40,3,"Immature",2
"243","8/12/2006",60,8,"Mature",7
"244","8/12/2006",44,5,"Immature",7
"245","8/12/2006",44,4,"Immature",7
"246","8/13/2006",48,4,"Mature",7
"247","8/16/2006",61,8,"Mature",7
"248","8/16/2006",40,4,"Immature",2
"249","8/17/2006",51,5,"Mature",7
"250","8/20/2006",43,4,"Mature",7
"251","8/21/2006",45,4,"Mature",2
"252","5/16/2007",50,NA,"Mature",7
"253","5/17/2007",60,NA,"Mature",7
"254","8/21/2006",53,5,"Mature",2
"255","8/21/2006",56,6,"Mature",7
"256","5/13/2007",58,NA,"Mature",6
"257","5/25/2007",54,NA,"Mature",7
"258","5/26/2007",60,NA,"Mature",4
"259","8/23/2006",42,4,"Immature",2
"260","5/27/2007",44,NA,"Mature",2
"261","8/23/2006",56,5,"Mature",7
"262","8/26/2006",51,5,"Mature",7
"263","6/3/2007",62,NA,"Mature",7
"264","8/26/2006",49,5,"Mature",7
"265","8/27/2006",50,6,"Mature",7
"266","8/31/2006",45,4,"Mature",7
"267","6/19/2007",55,NA,"Mature",7
"268","6/19/2007",63,NA,"Mature",7
"269","9/10/2006",44,4,"Mature",2
"270","4/2/2007",62,8,"Mature",3
"271","4/2/2007",41,4,"Immature",2
"272","4/3/2007",60,10,"Mature",3
"273","4/3/2007",58,7,"Mature",3
"274","4/3/2007",55,7,"Mature",4
"275","4/3/2007",49,4,"Mature",3
"276","4/4/2007",59,8,"Mature",6
"277","4/4/2007",45,5,"Mature",3
"278","4/4/2007",60,8,"Mature",3
"279","4/4/2007",53,9,"Mature",3
"280","6/22/2007",51,NA,"Mature",2
"281","4/5/2007",62,8,"Mature",3
"282","4/12/2007",43,5,"Immature",2
"283","6/23/2007",51,NA,"Mature",7
"284","4/21/2007",66,10,"Mature",6
"285","4/21/2007",55,8,"Mature",6
"286","4/25/2007",46,5,"Mature",2
"287","5/6/2007",62,9,"Mature",6
"288","5/7/2007",46,5,"Mature",4
"289","5/7/2007",65,8,"Mature",6
"290","5/12/2007",47,6,"Mature",7
"291","5/13/2007",64,8,"Mature",4
"292","5/13/2007",43,5,"Mature",7
"293","5/14/2007",63,8,"Mature",6
"294","5/18/2007",55,7,"Mature",7
"295","5/18/2007",74,13,"Mature",7
"296","5/27/2007",60,8,"Mature",7
"297","6/3/2007",69,11,"Mature",7
"298","6/3/2007",65,8,"Mature",7
"299","6/16/2007",43,4,"Immature",2
"300","6/17/2007",59,8,"Mature",7
"301","6/19/2007",58,7,"Mature",7
"302","6/19/2007",64,8,"Mature",7
"303","6/19/2007",64,10,"Mature",7
"304","6/19/2007",48,5,"Immature",7
"305","6/20/2007",63,9,"Mature",6
"306","6/20/2007",46,6,"Immature",2
"307","6/20/2007",54,6,"Mature",7
"308","6/21/2007",40,5,"Immature",2
"309","6/20/2007",62,8,"Mature",7
"310","6/21/2007",66,9,"Mature",3
"311","6/22/2007",55,6,"Mature",7
"312","6/22/2007",56,7,"Mature",7
"313","6/22/2007",60,10,"Mature",7
"314","6/23/2007",59,9,"Mature",7
"315","6/23/2007",46,5,"Immature",2
"316","8/5/2005",48,5,"Immature",7
"317","8/7/2005",62,8,"Mature",3
"318","8/9/2005",43,4,"Mature",7
"319","8/9/2005",68,9,"Mature",7
"320","8/7/2005",51,NA,"Mature",7
"321","6/23/2007",51,6,"Immature",7
"322","6/23/2007",59,9,"Mature",7
"323","6/23/2007",51,NA,"Mature",7
"324","6/24/2007",50,7,"Mature",7
"325","6/25/2007",56,7,"Mature",7
"326","6/25/2007",52,6,"Mature",2
"327","6/26/2007",49,7,"Mature",7
"328","6/26/2007",59,10,"Mature",7
"329","6/26/2007",57,8,"Mature",7
"330","6/27/2007",63,10,"Mature",7
"331","6/27/2007",48,7,"Immature",2
"332","6/27/2007",48,4,"Mature",3
"333","6/27/2007",51,NA,"Mature",7
"334","6/30/2007",60,9,"Mature",7
"335","7/3/2007",41,3,"Immature",2
"336","7/3/2007",47,5,"Immature",2
"337","7/3/2007",44,4,"Mature",2
"338","7/1/2007",55,NA,"Mature",7
"339","7/1/2007",52,NA,"Mature",7
"340","7/1/2007",61,NA,"Mature",7
"341","7/2/2007",46,NA,"Immature",2
"342","7/8/2007",44,4,"Immature",2
"343","7/14/2007",42,4,"Immature",2
"344","7/14/2007",44,5,"Mature",2
"345","7/3/2007",61,NA,"Mature",7
"346","7/3/2007",71,NA,"Mature",7
"347","7/5/2007",49,NA,"Mature",7
"348","7/6/2007",52,NA,"Mature",7
"349","7/6/2007",52,NA,"Immature",2
"350","7/16/2007",43,4,"Immature",2
"351","7/8/2007",69,NA,"Mature",7
"352","7/10/2007",63,NA,"Mature",7
"353","7/13/2007",47,NA,"Mature",7
"354","7/20/2007",43,4,"Immature",2
"355","7/26/2007",40,3,"Immature",2
"356","7/14/2007",53,NA,"Mature",7
"357","7/14/2007",68,NA,"Mature",7
"358","7/14/2007",63,NA,"Mature",7
"359","7/15/2007",53,NA,"Mature",2
"360","7/28/2007",44,4,"Mature",2
"361","7/16/2007",46,NA,"Immature",7
"362","7/16/2007",47,NA,"Immature",2
"363","7/16/2007",67,NA,"Mature",7
"364","7/16/2007",69,NA,"Mature",7
"365","7/17/2007",56,NA,"Mature",7
"366","7/18/2007",56,NA,"Mature",3
"367","7/31/2007",40,4,"Immature",2
"368","7/24/2007",54,NA,"Mature",2
"369","7/25/2007",52,NA,"Immature",2
"370","8/1/2007",44,4,"Immature",2
"371","7/27/2007",59,NA,"Mature",7
"372","8/2/2007",42,4,"Immature",2
"373","7/28/2007",46,NA,"Mature",2
"374","7/28/2007",67,NA,"Mature",7
"375","7/28/2007",51,NA,"Immature",2
"376","7/28/2007",56,NA,"Mature",7
"377","7/30/2007",57,NA,"Mature",7
"378","7/30/2007",47,NA,"Mature",2
"379","7/30/2007",59,NA,"Mature",7
"380","7/30/2007",56,NA,"Mature",7
"381","7/31/2007",59,NA,"Mature",7
"382","8/3/2007",44,4,"Mature",2
"383","8/5/2007",43,4,"Immature",2
"384","8/1/2007",56,NA,"Mature",7
"385","8/2/2007",48,NA,"Mature",7
"386","8/6/2007",42,4,"Immature",2
"387","8/3/2007",49,NA,"Mature",2
"388","8/3/2007",48,NA,"Mature",2
"389","8/3/2007",46,NA,"Mature",2
"390","8/9/2007",43,3,"Immature",2
"391","8/3/2007",49,NA,"Mature",2
"392","8/3/2007",59,NA,"Mature",7
"393","8/3/2007",49,NA,"Mature",2
"394","8/3/2007",63,NA,"Mature",7
"395","8/4/2007",46,NA,"Mature",2
"396","8/4/2007",57,NA,"Mature",7
"397","8/4/2007",61,NA,"Mature",7
"398","8/4/2007",45,NA,"Mature",2
"399","8/4/2007",61,NA,"Mature",7
"400","8/4/2007",58,NA,"Mature",7
"401","8/4/2007",64,NA,"Mature",7
"402","8/10/2007",41,4,"Immature",2
"403","8/5/2007",52,NA,"Mature",7
"404","8/5/2007",53,NA,"Mature",7
"405","8/5/2007",49,NA,"Mature",2
"406","4/2/2008",44,5,"Immature",2
"407","8/6/2007",50,NA,"Mature",2
"408","4/2/2008",45,5,"Immature",2
"409","8/9/2007",61,NA,"Mature",7
"410","8/10/2007",48,NA,"Mature",2
"411","4/2/2008",57,7,"Mature",4
"412","4/2/2008",74,13,"Mature",4
"413","4/8/2008",53,8,"Mature",4
"414","4/8/2008",55,7,"Mature",6
"415","4/20/2008",61,9,"Mature",4
"416","4/25/2008",57,10,"Mature",6
"417","4/27/2008",52,6,"Mature",6
"418","5/1/2008",66,9,"Mature",4
"419","5/1/2008",54,6,"Mature",4
"420","5/7/2008",61,8,"Mature",6
"421","5/10/2008",60,9,"Mature",6
"422","5/14/2008",68,8,"Mature",4
"423","4/2/2008",53,NA,"Mature",4
"424","5/18/2008",55,6,"Mature",6
"425","5/18/2008",62,7,"Mature",6
"426","5/18/2008",60,9,"Mature",6
"427","5/18/2008",51,6,"Mature",6
"428","5/18/2008",43,5,"Mature",6
"429","4/12/2008",56,NA,"Mature",6
"430","5/24/2008",59,8,"Mature",6
"431","5/24/2008",57,7,"Mature",6
"432","1/26/2008",43,NA,"Mature",5
"433","1/26/2008",48,NA,"Mature",5
"434","3/9/2008",63,NA,"Mature",4
"435","3/30/2008",57,NA,"Mature",4
"436","5/25/2008",68,11,"Mature",6
"437","4/27/2008",53,NA,"Mature",4
"438","5/25/2008",68,10,"Mature",6
"439","5/25/2008",58,7,"Mature",6
"440","5/4/2008",54,NA,"Mature",6
"441","5/25/2008",61,7,"Mature",6
"442","5/5/2008",49,NA,"Mature",6
"443","5/25/2008",61,7,"Mature",6
"444","5/9/2008",50,NA,"Mature",6
"445","5/25/2008",49,5,"Mature",6
"446","5/26/2008",68,11,"Mature",6
"447","5/26/2008",77,19,"Mature",6
"448","5/31/2008",61,8,"Mature",6
"449","6/8/2008",53,6,"Mature",6
"450","6/15/2008",59,7,"Mature",6
"451","6/17/2008",54,6,"Mature",6
"452","6/18/2008",63,9,"Mature",6
"453","6/18/2008",49,7,"Mature",6
"454","6/18/2008",56,8,"Mature",6
"455","5/26/2008",63,NA,"Mature",6
"456","6/18/2008",60,10,"Mature",6
"457","6/19/2008",62,11,"Mature",6
"458","5/26/2008",52,NA,"Mature",6
"459","6/19/2008",65,9,"Mature",6
"460","6/20/2008",68,7,"Mature",6
"461","6/20/2008",59,9,"Mature",6
"462","6/22/2008",61,11,"Mature",6
"463","6/22/2008",67,10,"Mature",6
"464","6/15/2008",60,NA,"Mature",6
"465","6/16/2008",51,NA,"Mature",6
"466","6/22/2008",45,4,"Mature",6
"467","6/22/2008",58,6,"Mature",6
"468","6/22/2008",42,4,"Mature",6
"469","6/24/2008",66,10,"Mature",6
"470","6/18/2008",61,NA,"Mature",6
"471","6/30/2008",70,11,"Mature",6
"472","6/17/2003",67,12,"Mature",6
"473","7/9/2003",44,6,"Mature",7
"474","7/16/2003",39,4,"Immature",1
"475","7/16/2003",57,8,"Mature",7
"476","6/22/2008",63,NA,"Mature",6
"477","10/25/2003",54,4,"Mature",7
"478","11/9/2003",53,6,"Mature",2
"479","6/24/2008",52,NA,"Mature",6
"480","4/3/2007",57,8,"Mature",3
"481","7/1/2008",54,NA,"Mature",6
"482","7/1/2008",57,NA,"Mature",6
"483","7/1/2008",45,NA,"Immature",6
"484","7/2/2008",42,NA,"Mature",3
"485","7/3/2008",59,NA,"Mature",6
"486","7/4/2008",52,NA,"Mature",6
"487","7/10/2008",52,NA,"Mature",6
"488","7/11/2008",52,NA,"Mature",7
"489","7/11/2008",49,NA,"Mature",6
"490","7/11/2008",45,NA,"Mature",2
"491","7/11/2008",43,NA,"Mature",7
"492","7/14/2008",47,NA,"Mature",3
"493","7/14/2008",52,NA,"Mature",3
"494","7/14/2008",59,NA,"Mature",6
"495","7/16/2008",53,NA,"Mature",6
"496","7/16/2008",42,NA,"Immature",2
"497","7/19/2008",49,NA,"Mature",6
"498","7/19/2008",55,NA,"Mature",6
"499","7/21/2008",53,NA,"Mature",3
"500","7/22/2008",54,NA,"Mature",3
"501","7/24/2008",51,NA,"Mature",7
"502","7/24/2008",45,NA,"Immature",2
"503","7/25/2008",60,NA,"Mature",6
"504","7/25/2008",47,NA,"Mature",7
"505","7/25/2008",42,NA,"Immature",2
"506","7/25/2008",47,NA,"Mature",7
"507","8/2/2008",56,NA,"Mature",2
"508","8/3/2008",46,NA,"Mature",6
"509","8/4/2008",48,NA,"Immature",2
"510","8/6/2008",52,NA,"Mature",7
"511","8/6/2008",62,NA,"Mature",6
"512","8/7/2008",71,NA,"Mature",6
"513","8/7/2008",53,NA,"Mature",6
"514","8/7/2008",54,NA,"Mature",6
"515","8/7/2008",48,NA,"Mature",6
"516","8/8/2008",64,NA,"Mature",3
"517","8/8/2008",63,NA,"Mature",3
"518","8/8/2008",54,NA,"Mature",3
"519","8/8/2008",52,NA,"Immature",2
"520","8/9/2008",56,NA,"Mature",3
"521","8/17/2008",65,NA,"Mature",3
"522","8/17/2008",43,NA,"Mature",2
"523","8/17/2008",66,NA,"Mature",3
"524","8/19/2008",47,NA,"Mature",3
"525","8/7/2007",47,NA,"Immature",2
